effective_at,key,value,source,notes
2026-09-05T21:19:00+08:00,device_model,"iQOO 12 Pro / V2329A / PD2329",project_confirmed,"baseline snapshot timestamp; not the original device-acquisition/change time"
2026-09-05T21:19:00+08:00,android_version,16,project_confirmed,"current baseline"
2026-09-05T21:19:00+08:00,os_family,"OriginOS 6 China",project_confirmed,"current baseline"
2026-09-05T21:19:00+08:00,os_build,"PD2329B_A_16.2.19.1.W10.V0101L17",project_confirmed,"exact current build"
2026-09-05T21:19:00+08:00,bootloader_state,locked,project_confirmed,"current baseline"
2026-09-05T21:19:00+08:00,persistent_root,false,project_confirmed,"no persistent root in normal daily use"
2026-09-05T21:19:00+08:00,shell_environment,"Shizuku Runner",project_confirmed,"default Android shell execution environment; not a battery metric"
2026-09-05T21:19:00+08:00,resolution_mode,2K,project_confirmed,"long-term daily-use display mode"
2026-09-05T21:19:00+08:00,refresh_rate_hz,120,project_confirmed,"long-term daily-use setting; 144 Hz not used"
2026-09-05T21:19:00+08:00,battery_health_percent,88,project_snapshot,"reported device battery-health snapshot; future changes append new rows"
2026-09-05T21:19:00+08:00,battery_cycle_count,751,project_snapshot,"reported cycle-count snapshot; future changes append new rows"
2026-09-05T21:19:00+08:00,scene_version,9.3.8,installed_apk_re,"current installed Scene version tied to current metric semantics"
2026-09-05T21:19:00+08:00,scene_apk_sha256,"0ed83e956f9e6050cc3459a46ea80dfa7083bedb4f195051644fe19e28423d80",installed_apk_re,"semantic authority for current Scene battery-statistics implementation"
2026-09-05T21:19:00+08:00,scene_history_sampling_interval_s,3,installed_apk_re,"current Scene 9.3.8 History/app sample duration semantics"
