history_session_at,history_used_rounded,state,canonical_action
2026-07-11 22:28,0.5h,intentionally_not_captured,excluded
2026-07-13 14:11,1.8h,intentionally_not_captured,excluded
2026-07-13 18:36,2.1h,intentionally_not_captured,excluded
2026-07-13 22:23,0.7h,intentionally_not_captured,excluded
2026-07-14 06:59,3.7h,intentionally_not_captured,excluded
2026-07-14 12:56,0.6h,intentionally_not_captured,excluded
2026-07-14 15:36,0.7h,intentionally_not_captured,excluded
2026-07-14 19:50,2.0h,intentionally_not_captured,excluded
2026-07-15 12:16,1.8h,intentionally_not_captured,excluded
2026-07-16 10:49,1.5h,intentionally_not_captured,excluded
2026-07-17 07:51,2.0h,intentionally_not_captured,excluded
2026-07-18 03:33,1.0h,intentionally_not_captured,excluded
