app_name,total_duration_h,sessions,weighted_avg_power_w,max_temp_c
ChatGPT,20.2286,31,1.9254,43.0
系統桌面,7.8914,39,3.2263,43.0
LINE,6.1619,36,2.9661,42.0
Threads,4.3425,24,2.929,42.0
酷安,3.5119,19,2.6968,43.0
三星瀏覽器,3.5047,25,2.1996,39.0
拼多多,1.7003,19,3.044,41.0
地圖,1.4489,9,3.7415,45.0
Instagram,0.8511,7,2.9311,41.0
設定,0.8011,14,2.8037,38.0
foodpanda,0.7797,1,2.17,36.0
Origin Isle,0.6006,3,1.7629,40.0
ShizukuRunner,0.4511,8,2.5851,39.0
MT管理器,0.4386,13,2.4791,39.0
GeminiMan WearOS Manager,0.4092,2,1.6881,37.0
Galaxy Watch6 Manager,0.4014,5,2.0576,35.0
行動郵局,0.3825,2,1.4848,37.0
相簿,0.3758,15,3.0863,42.0
葛瑪蘭多元服務,0.3667,3,1.7299,41.0
MicroG RE,0.3189,2,1.1359,36.0
宜蘭垃圾車,0.3172,2,1.281,33.0
YouTube ReVanced,0.3144,8,3.0561,39.0
YouTube Music,0.3061,5,3.8618,40.0
哔哩哔哩,0.2772,4,4.2455,40.0
Samsung Health,0.2694,5,2.7773,32.0
蝦皮購物,0.2642,5,4.3476,36.0
套件安裝程式,0.2478,10,2.9821,37.0
Google Play 商店,0.2417,6,2.2801,39.0
全家便利商店,0.2322,6,2.8066,39.0
相機,0.2289,5,5.7946,39.0
鬧鐘時鐘,0.2083,7,2.4824,36.0
夸克,0.1889,2,3.2947,36.0
淘宝,0.1853,3,2.9996,36.0
YouTube,0.18,1,3.85,37.0
米家,0.1467,1,1.88,38.0
原子隱私系統,0.1458,1,1.52,34.0
SumOne,0.1233,5,3.818,38.0
LocalSend,0.1228,3,1.2635,38.0
電話與聯絡人,0.1167,1,1.62,37.0
Galaxy Buds2 Pro,0.0867,1,2.22,27.0
電話管理,0.0864,2,2.4725,38.0
權限管理,0.0858,5,2.4998,38.0
SmartLife,0.0856,7,5.6256,41.0
QQ,0.0833,4,4.6617,38.0
Gmail,0.0808,2,1.2636,34.0
無線緊急警報,0.0783,1,1.75,41.0
GeminiMan Wellness Companion,0.0658,2,0.9772,33.0
Facebook,0.0608,3,3.0334,34.0
GitHub,0.0575,2,2.4984,37.0
Authenticator,0.0558,1,1.14,32.0
計算機,0.0533,1,1.58,33.0
ReVanced Manager,0.0533,1,2.89,36.0
健保快易通,0.0506,1,1.24,35.0
Samsung Wallet/Pay (Watch),0.0506,1,1.71,35.0
LINE Pay,0.0467,2,3.67,37.0
合作金庫銀行,0.045,1,1.45,35.0
主題,0.0433,1,3.63,29.0
Bada,0.0433,4,3.0138,37.0
123云盘,0.0408,1,2.08,36.0
vivoshare,0.0392,2,4.3126,36.0
PodsLink,0.0383,2,3.7059,38.0
Smart Launcher,0.0356,2,4.0527,36.0
Google,0.0356,2,4.3336,38.0
閱圖鎖定螢幕,0.0333,1,2.96,27.0
拖放直達,0.0308,1,1.36,32.0
Google Play 服務,0.03,2,4.7125,37.0
Easy Wallet,0.03,1,2.24,34.0
MacroDroid,0.0283,1,2.72,38.0
WeChat,0.0267,1,2.77,35.0
YAMAHA LIFE,0.0258,1,3.41,39.0
派威智联,0.0258,1,3.19,36.0
小V建議,0.025,2,2.7147,35.0
com.hamondev.shevery,0.0239,1,3.05,37.0
分享,0.0233,2,3.3971,37.0
檔案管理員,0.0231,1,2.16,32.0
台北等公車,0.0225,1,3.3,36.0
系統介面元件,0.0225,2,3.2863,38.0
EZ Way,0.0208,2,4.9192,36.0
OPENPOINT,0.0208,2,3.46,36.0
roro.stellar.manager,0.0183,1,3.22,37.0
貼紙,0.015,1,1.68,36.0
發票載具,0.0117,1,3.53,31.0
com.yorick.cokotools,0.0117,1,3.27,37.0
錄製語音,0.0108,1,3.11,38.0
Uber,0.0108,1,5.21,34.0
