capture_id,app_label,avg_power_w,avg_temp_c,max_temp_c,duration_seconds,duration_semantics,scene_mode,source_type,notes
2026-09-08-live-034921,LINE,3.29,34,37,971,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
2026-09-08-live-034921,系統桌面,3.91,32,37,768,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
2026-09-08-live-034921,ChatGPT,2.21,34,36,1341,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
2026-09-08-live-034921,相簿,3.99,30,34,143,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
2026-09-08-live-034921,地圖,5.29,36,37,96,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
2026-09-08-live-034921,拼多多,2.97,33,33,108,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
2026-09-08-live-034921,SumOne,2.95,32,32,108,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
2026-09-08-live-034921,Smart Launcher,5.02,28,33,48,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
2026-09-08-live-034921,YAMAHA LIFE,4.30,35,35,51,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
2026-09-08-live-034921,Threads,2.98,31,34,60,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
2026-09-08-live-034921,台灣電力,1.90,33,34,90,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
2026-09-08-live-034921,Gmail,1.36,31,32,113,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
2026-09-08-live-034921,相片和影片,3.46,30,30,42,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
2026-09-08-live-080316,系統桌面,3.11,32,36,843,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
2026-09-08-live-080316,LINE貼貼,2.02,34,36,708,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
2026-09-08-live-080316,LINE,2.24,33,34,555,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
2026-09-08-live-080316,Gmail,1.85,33,34,315,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
2026-09-08-live-080316,Samsung Health,5.62,29,29,83,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
2026-09-08-live-080316,SumOne,2.91,32,35,162,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
2026-09-08-live-080316,ChatGPT,4.08,34,35,71,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
2026-09-08-live-080316,Authenticator,1.17,32,32,203,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
2026-09-08-live-080316,相簿,3.60,34,34,39,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
