snapshot_id,provisional_group,app_label,package_name,mode,duration_seconds,duration_semantics,avg_power_w,avg_temp_c,max_temp_c,source_ref,notes
2026-09-08-034921-A1,2026-09-08-live-A,LINE,,,971,scene_valid_app_samples_3s,3.29,34,37,1000150172.jpg,
2026-09-08-034921-A1,2026-09-08-live-A,系統桌面,,,768,scene_valid_app_samples_3s,3.91,32,37,1000150172.jpg,
2026-09-08-034921-A1,2026-09-08-live-A,ChatGPT,,,1341,scene_valid_app_samples_3s,2.21,34,36,1000150172.jpg,
2026-09-08-034921-A1,2026-09-08-live-A,相簿,,,143,scene_valid_app_samples_3s,3.99,30,34,1000150172.jpg,
2026-09-08-034921-A1,2026-09-08-live-A,地圖,,,96,scene_valid_app_samples_3s,5.29,36,37,1000150172.jpg,
2026-09-08-034921-A1,2026-09-08-live-A,拼多多,,,108,scene_valid_app_samples_3s,2.97,33,33,1000150172.jpg,
2026-09-08-034921-A1,2026-09-08-live-A,SumOne,,,108,scene_valid_app_samples_3s,2.95,32,32,1000150172.jpg,
2026-09-08-034921-A1,2026-09-08-live-A,Smart Launcher,,,48,scene_valid_app_samples_3s,5.02,28,33,1000150172.jpg,
2026-09-08-034921-A1,2026-09-08-live-A,YAMAHA LIFE,,,51,scene_valid_app_samples_3s,4.30,35,35,1000150172.jpg,
2026-09-08-034921-A1,2026-09-08-live-A,Threads,,,60,scene_valid_app_samples_3s,2.98,31,34,1000150172.jpg,
2026-09-08-034921-A1,2026-09-08-live-A,台灣電力,,,90,scene_valid_app_samples_3s,1.90,33,34,1000150172.jpg,
2026-09-08-034921-A1,2026-09-08-live-A,Gmail,,,113,scene_valid_app_samples_3s,1.36,31,32,1000150172.jpg,
2026-09-08-034921-A1,2026-09-08-live-A,相片和影片,,,42,scene_valid_app_samples_3s,3.46,30,30,1000150172.jpg,
2026-09-08-080316-B1,2026-09-08-live-B,系統桌面,,,843,scene_valid_app_samples_3s,3.11,32,36,1000150153.jpg,
2026-09-08-080316-B1,2026-09-08-live-B,LINE搶貼,,,708,scene_valid_app_samples_3s,2.02,34,36,1000150153.jpg,"label transcribed from screenshot; package unavailable"
2026-09-08-080316-B1,2026-09-08-live-B,LINE,,,555,scene_valid_app_samples_3s,2.24,32,34,1000150153.jpg,
2026-09-08-080316-B1,2026-09-08-live-B,Gmail,,,315,scene_valid_app_samples_3s,1.85,33,34,1000150153.jpg,
2026-09-08-080316-B1,2026-09-08-live-B,Samsung Health,,,83,scene_valid_app_samples_3s,5.62,29,29,1000150153.jpg,
2026-09-08-080316-B1,2026-09-08-live-B,SumOne,,,162,scene_valid_app_samples_3s,2.91,32,35,1000150153.jpg,
2026-09-08-080316-B1,2026-09-08-live-B,ChatGPT,,,71,scene_valid_app_samples_3s,4.08,34,35,1000150153.jpg,
2026-09-08-080316-B1,2026-09-08-live-B,Authenticator,,,203,scene_valid_app_samples_3s,1.17,32,32,1000150153.jpg,
2026-09-08-080316-B1,2026-09-08-live-B,相簿,,,39,scene_valid_app_samples_3s,3.60,34,34,1000150153.jpg,
2026-09-08-080316-B1,2026-09-08-live-B,鬧鐘時鐘,,,33,scene_valid_app_samples_3s,4.18,27,29,1000150153.jpg,
2026-09-08-080316-B1,2026-09-08-live-B,PayPal,,,51,scene_valid_app_samples_3s,2.53,33,33,1000150153.jpg,
2026-09-08-080316-B1,2026-09-08-live-B,三星瀏覽器,,,33,scene_valid_app_samples_3s,2.44,33,35,1000150153.jpg,
2026-09-08-080316-B1,2026-09-08-live-B,Galaxy Buds2 Pro,,,57,scene_valid_app_samples_3s,1.26,29,29,1000150153.jpg,
2026-09-08-112501-B2,2026-09-08-live-B,地圖,,,1350,scene_valid_app_samples_3s,2.73,33,37,1000150178.jpg,
2026-09-08-112501-B2,2026-09-08-live-B,ChatGPT,,,1056,scene_valid_app_samples_3s,2.34,32,37,1000150178.jpg,
2026-09-08-112501-B2,2026-09-08-live-B,系統桌面,,,287,scene_valid_app_samples_3s,6.16,33,37,1000150178.jpg,
2026-09-08-112501-B2,2026-09-08-live-B,LINE,,,294,scene_valid_app_samples_3s,3.74,32,37,1000150178.jpg,
2026-09-08-112501-B2,2026-09-08-live-B,三星瀏覽器,,,440,scene_valid_app_samples_3s,2.09,34,37,1000150178.jpg,
2026-09-08-112501-B2,2026-09-08-live-B,foodpanda,,,290,scene_valid_app_samples_3s,3.15,32,34,1000150178.jpg,
2026-09-08-112501-B2,2026-09-08-live-B,Threads,,,156,scene_valid_app_samples_3s,2.07,30,32,1000150178.jpg,
2026-09-08-112501-B2,2026-09-08-live-B,酷安,,,93,scene_valid_app_samples_3s,3.38,34,35,1000150178.jpg,
2026-09-08-112501-B2,2026-09-08-live-B,MyCard,,,102,scene_valid_app_samples_3s,2.10,35,36,1000150178.jpg,
2026-09-08-112501-B2,2026-09-08-live-B,LINE Pay,,,68,scene_valid_app_samples_3s,2.77,35,36,1000150178.jpg,
2026-09-08-112501-B2,2026-09-08-live-B,台灣大哥大,,,78,scene_valid_app_samples_3s,2.25,36,37,1000150178.jpg,
2026-09-08-112501-B2,2026-09-08-live-B,Instagram,,,36,scene_valid_app_samples_3s,3.33,30,30,1000150178.jpg,
